,SF,Char,Byte,AirTime,PointSize,MultiVal
758,9,272,136,779,90,5
759,10,272,136,1394,100,5
760,11,272,136,3117,110,5
761,12,272,136,5578,120,5
762,7,274,137,246,70,5
763,8,274,137,430,80,5
764,9,274,137,779,90,5
765,10,274,137,1435,100,5
766,11,274,137,3117,110,5
767,12,274,137,5578,120,5
768,7,276,138,246,70,5
769,8,276,138,440,80,5
770,9,276,138,779,90,5
771,10,276,138,1435,100,5
772,11,276,138,3117,110,5
773,12,276,138,5742,120,5
774,7,278,139,246,70,5
775,8,278,139,440,80,5
776,9,278,139,779,90,5
777,10,278,139,1435,100,5
778,11,278,139,3117,110,5
779,12,278,139,5742,120,5
780,7,280,140,251,70,5
781,8,280,140,440,80,5
782,9,280,140,799,90,5
783,10,280,140,1435,100,5
784,11,280,140,3117,110,5
785,12,280,140,5742,120,5
786,7,282,141,251,70,5
787,8,282,141,440,80,5
788,9,282,141,799,90,5
789,10,282,141,1435,100,5
790,11,282,141,3199,110,5
791,12,282,141,5742,120,5
792,7,284,142,251,70,5
793,8,284,142,451,80,5
794,9,284,142,799,90,5
795,10,284,142,1476,100,5
796,11,284,142,3199,110,5
797,12,284,142,5742,120,5
798,7,286,143,256,70,5
799,8,286,143,451,80,5
800,9,286,143,799,90,5
801,10,286,143,1476,100,5
802,11,286,143,3199,110,5
803,12,286,143,5906,120,5
804,7,288,144,256,70,5
805,8,288,144,451,80,5
806,9,288,144,820,90,5
807,10,288,144,1476,100,5
808,11,288,144,3199,110,5
809,12,288,144,5906,120,5
810,7,290,145,256,70,5
811,8,290,145,451,80,5
812,9,290,145,820,90,5
813,10,290,145,1476,100,5
814,11,290,145,3280,110,5
815,12,290,145,5906,120,5
816,7,292,146,256,70,5
817,8,292,146,461,80,5
818,9,292,146,820,90,5
819,10,292,146,1476,100,5
820,11,292,146,3280,110,5
821,12,292,146,5906,120,5
822,7,294,147,261,70,5
823,8,294,147,461,80,5
824,9,294,147,820,90,5
825,10,294,147,1517,100,5
826,11,294,147,3280,110,5
827,12,294,147,5906,120,5
828,7,296,148,261,70,5
829,8,296,148,461,80,5
830,9,296,148,820,90,5
831,10,296,148,1517,100,5
832,11,296,148,3280,110,5
833,12,296,148,6070,120,5
834,7,298,149,261,70,5
835,8,298,149,461,80,5
836,9,298,149,840,90,5
837,10,298,149,1517,100,5
838,11,298,149,3280,110,5
839,12,298,149,6070,120,5
840,7,300,150,266,70,5
841,8,300,150,471,80,5
842,9,300,150,840,90,5
843,10,300,150,1517,100,5
844,11,300,150,3362,110,5
845,12,300,150,6070,120,5
846,7,302,151,266,70,5
847,8,302,151,471,80,5
848,9,302,151,840,90,5
849,10,302,151,1517,100,5
850,11,302,151,3362,110,5
851,12,302,151,6070,120,5
852,7,304,152,266,70,5
853,8,304,152,471,80,5
854,9,304,152,840,90,5
855,10,304,152,1558,100,5
856,11,304,152,3362,110,5
857,12,304,152,6070,120,5
858,7,306,153,266,70,5
859,8,306,153,471,80,5
860,9,306,153,861,90,5
861,10,306,153,1558,100,5
862,11,306,153,3362,110,5
863,12,306,153,6234,120,5
864,7,308,154,271,70,5
865,8,308,154,481,80,5
866,9,308,154,861,90,5
867,10,308,154,1558,100,5
868,11,308,154,3444,110,5
869,12,308,154,6234,120,5
870,7,310,155,271,70,5
871,8,310,155,481,80,5
872,9,310,155,861,90,5
873,10,310,155,1558,100,5
874,11,310,155,3444,110,5
875,12,310,155,6234,120,5
876,7,312,156,271,70,5
877,8,312,156,481,80,5
878,9,312,156,861,90,5
879,10,312,156,1558,100,5
